fighter_a,fighter_b,odds_a_decimal,odds_b_decimal
Jean Silva,Jose Delgado,1.240,4.000
Brandon Moreno,Joseph Morales,2.100,1.740
Tommy McMillen,Marwan Rahiki,1.580,2.360
Manon Fiorot,Alexa Grasso,1.430,2.800
Waldo Cortes Acosta,Curtis Blaydes,1.490,2.650
David Martinez,Dan Ige,1.280,3.650
Tim Elliott,Edgar Chairez,2.630,1.500
Ignacio Bahamondes,Muslim Salikhov,1.190,4.775
Yousri Belgaroui,Djorden Santos,1.140,6.000
Drakkar Klose,Tommy Gantt,4.720,1.190
Rafa Garcia,Rongzhu,2.345,1.610
Sean King III,Jessie Rosas,1.780,2.000
JJ Aldrich,Regina Tarin,3.000,1.380
